,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
Xkr4,0,NA,NA,NA,NA,NA
Gm19938,0,NA,NA,NA,NA,NA
Gm10568,0,NA,NA,NA,NA,NA
Rp1,0,NA,NA,NA,NA,NA
Sox17,0,NA,NA,NA,NA,NA
Mrpl15,88.83725809,-0.021253856,0.293938985,-0.072307035,0.942357567,0.999931188
Lypla1,251.4126965,0.31270426,0.20412517,1.531924066,0.125541174,0.999931188
Gm19860,0,NA,NA,NA,NA,NA
Tcea1,348.3111791,-0.025523264,0.181047254,-0.140975706,0.887889135,0.999931188
Rgs20,0,NA,NA,NA,NA,NA
Atp6v1h,726.7460171,-0.105259982,0.1566237,-0.672056544,0.5015477,0.999931188
Oprk1,0,NA,NA,NA,NA,NA
Npbwr1,0,NA,NA,NA,NA,NA
Rb1cc1,293.4930624,0.162713527,0.190185529,0.855551564,0.392245871,0.999931188
Fam150a,0,NA,NA,NA,NA,NA
St18,56.11240073,0.100958622,0.358907418,0.281294331,0.778484658,0.999931188
Pcmtd1,356.0929391,0.302316489,0.196217086,1.540724587,0.12338383,0.999931188
Sntg1,0,NA,NA,NA,NA,NA
Rrs1,123.0121488,0.112144374,0.258788672,0.43334344,0.664765284,0.999931188
Adhfe1,52.77274178,0.475516513,0.372685002,1.275920711,0.201983549,0.999931188
2610203C22Rik,4.304100359,0.889737053,1.239966648,0.717549181,0.473035301,NA
3110035E14Rik,0,NA,NA,NA,NA,NA
Mybl1,4.275300025,-0.033502386,1.193067291,-0.028080885,0.977597639,NA
Vcpip1,444.2205701,-0.091858434,0.171527237,-0.535532637,0.592281595,0.999931188
1700034P13Rik,1.397830042,0.694121223,2.168809701,0.320047085,0.748932637,NA
Sgk3,151.820678,-0.026122358,0.273553841,-0.095492566,0.923923595,0.999931188
Gm6195,0.395470053,-1.535985189,4.047689193,-0.379472117,0.704337306,NA
6030422M02Rik,0.690642899,0.282238602,3.251918059,0.086791425,0.930837304,NA
Snhg6,16.47090282,-0.085004586,0.647826983,-0.131214952,0.895605268,0.999931188
Snord87,1.267666128,0.358858495,2.630712424,0.136411145,0.891496263,NA
Gm10567,5.602326852,-0.144608274,1.062773974,-0.136066819,0.891768458,NA
Tcf24,0.144973608,0.624592597,4.067881229,0.153542486,0.877970488,NA
Ppp1r42,0,NA,NA,NA,NA,NA
Cops5,206.4273702,-0.174412121,0.218987548,-0.796447663,0.425771884,0.999931188
Cspp1,115.1110093,0.335611235,0.265555338,1.263809033,0.206298578,0.999931188
Arfgef1,1397.623585,0.333889134,0.162862263,2.050131981,0.040351553,0.828082718
Cpa6,0.667895981,1.006746537,3.29684235,0.305366903,0.760086727,NA
Prex2,0.710552828,-1.814644377,3.240329769,-0.560018426,0.57546687,NA
