"","X6h.m1.t","X6h.m1.u","X6h.m2.t","X6h.m2.u","X6h.m3.t","X6h.m3.u"
"Xkr4",0,0,0,0,0,0
"Gm19938",0,0,0,0,0,0
"Gm10568",0,0,0,0,0,0
"Rp1",0,0,0,0,0,0
"Sox17",0,0,0,0,0,0
"Mrpl15",147.447717271655,100.839465795571,97.0502788114958,113.721626291355,102.940361189884,108.877630900753
"Lypla1",308.422748054471,252.098664488927,236.983238958304,317.636266537923,298.6197865148,261.484802081316
"Gm19860",0,0,0,0,1.85478128270062,0
"Tcea1",291.513606165519,387.710359869178,393.467409445057,394.757829195279,448.85707041355,409.629775274144
"Rgs20",0,0,0,0,0,0
"Atp6v1h",1103.82878251074,844.965178907715,818.532584084554,935.915912926555,951.502798025419,891.547157949607
"Oprk1",0,0,0,0,0,0
"Npbwr1",0,0,0,0,0,0
"Rb1cc1",317.215501836725,264.268944843565,329.519551313451,307.179105499638,292.128052025348,356.975839018862
"Fam150a",0,0,0,0,0,0
"St18",59.5201794491084,133.873083901017,103.068900753294,101.957320123284,84.3925483628783,118.694466473771
"Pcmtd1",296.248165894426,199.940320111908,377.668526847837,309.793395759209,321.804552548558,353.406080628673
"Sntg1",0,0,0,0,0,0
"Rrs1",156.240471053909,180.815593840334,154.227187258579,184.307463299782,178.98639378061,164.208885948676
"Adhfe1",101.454851333707,60.8514017731893,96.2979510687711,71.892982138213,88.1021109282795,66.9329698160365
"2610203C22Rik",0,5.21583443770194,1.50465548544955,11.7643061680712,3.70956256540124,3.56975839018861
"3110035E14Rik",0,0,0,0,0,0
"Mybl1",6.08729108002245,12.1702803546379,7.52327742724774,6.53572564892846,10.2012970548534,5.35463758528292
"Vcpip1",305.04091967668,453.777596080069,496.536310198351,416.979296401636,413.616226042239,464.961030322067
"1700034P13Rik",0,0,0,0,0,0
"Sgk3",115.658530520426,250.360053009693,162.502792428551,211.757511025282,162.293362236304,186.519875887355
"Gm6195",0,0,0,0,0,0.892439597547154
"6030422M02Rik",0,0,0,0,0,0
"Snhg6",12.1745821600449,8.69305739616991,12.7895716263212,13.0714512978569,25.0395473164584,10.7092751705658
"Snord87",0,0,0,2.61429025957138,0.927390641350311,0.892439597547154
"Gm10567",0,3.47722295846796,4.51396645634864,1.30714512978569,5.56434384810186,4.46219798773577
"Tcf24",0,0,0,0,0,0.892439597547154
"Ppp1r42",0,0,0,0,0,0
"Cops5",221.171575907482,227.758103779652,194.100557622992,228.750397712496,193.824644042215,198.121590655468
"Cspp1",158.269568080584,107.793911712507,146.703909831331,125.485932459426,103.867751831235,131.188620839432
"Arfgef1",1878.94384670026,1516.06920989203,1461.02047637151,1416.94532068769,1299.27428853179,1444.85970842884
"Cpa6",0,0,3.76163871362387,0,2.78217192405093,0
"Prex2",0,0,0,0,3.70956256540124,0
"A830018L16Rik",0,0,0,0,0,0
"4932411L15",0,0,0,0,0,0
"Sulf1",0,3.47722295846796,6.01862194179819,3.92143538935707,4.63695320675155,17.8487919509431
"Slco5a1",4.0581940533483,1.73861147923398,2.25698322817432,1.30714512978569,2.78217192405093,0.892439597547154
"Prdm14",0,0,0,0,0,0
"Ncoa2",204.938799694089,269.484779281267,258.048415754597,281.036202903924,247.613301240533,269.51675845924
"Tram1",779.849623918431,804.977114885333,753.832398210223,813.0442707267,767.879451038057,709.489480049987
"Lactb2",163.680493485048,100.839465795571,126.391060777762,154.243125314712,159.511190312253,124.941543656602
"Xkr9",0,0,0,0,0,0
"Gm5523",0,0,0,0,3.70956256540124,0
"Eya1",6.7636567555805,1.73861147923398,6.77094968452297,6.53572564892846,6.49173448945218,11.601714768113
"Msc",0,0,0,0,0,0
"Trpa1",0,0,0,0,0,0
"Kcnb2",0,0,0,0,0,0
"Terf1",38.5528435068088,17.3861147923398,55.6722529616333,58.8215308403561,46.3695320675155,42.8371006822634
"Gm106",0,0,0,0,0,0
"Gm7634",0,0,0,0,0,0
"4930444P10Rik",0,0,0,0,0,0
