"","X1h_m1_t","X1h_m1_u","X1h_m2_t","X1h_m2_u","X1h_m3_t","X1h_m3_u"
"ENSMUSG00000102693",0,0,0,0,0,0
"ENSMUSG00000064842",0,0,0,0,0,0
"ENSMUSG00000051951",0,0,0,0,0,0
"ENSMUSG00000102851",0,0,0,0,0,0
"ENSMUSG00000103377",0,0,0,0,0,0
"ENSMUSG00000104017",0,0,0,0,0,0
"ENSMUSG00000103025",0,0,0,0,0,0
"ENSMUSG00000089699",0,0,0,0,0,0
"ENSMUSG00000103201",0,0,0,0,0,0
"ENSMUSG00000103147",0,0,0,0,0,0
"ENSMUSG00000103161",0,0,0,0,0,0
"ENSMUSG00000102331",0,0,0,0,0,0
"ENSMUSG00000102348",0,0,0,0,0,0
"ENSMUSG00000102592",0,0,0,0,0,0
"ENSMUSG00000088333",0,0,0,0,0,0
"ENSMUSG00000102343",0,0,0,0,0,0
"ENSMUSG00000025900",0,0,0,0,0,0
"ENSMUSG00000102948",0,0,0,0,0,0
"ENSMUSG00000104123",0,0,0,0,0,0
"ENSMUSG00000025902",0,0,0,0,0,0
"ENSMUSG00000104238",0,0,0,0,0,0
"ENSMUSG00000102269",0,0,0,0,0,0
"ENSMUSG00000096126",0,0,0,0,0,0
"ENSMUSG00000103003",0,0,0,0,0,0
"ENSMUSG00000104328",0,0,0,0,0,0
"ENSMUSG00000102735",0,0,0,0,0,0
"ENSMUSG00000098104",0,2.38671538156477,0,1.9902307672117,3.43134409721113,0
"ENSMUSG00000102175",0,0,1.60809661952352,0,0,0
"ENSMUSG00000088000",0,0,0,0.995115383605851,0,0
"ENSMUSG00000103265",5.40718719240201,1.19335769078239,2.41214492928528,0.995115383605851,0,2.18129770937033
"ENSMUSG00000103922",3.24431231544121,0,1.60809661952352,0,0.857836024302784,0
"ENSMUSG00000033845",118.958118232844,116.949053696674,90.053410693317,99.5115383605851,111.518683159362,105.792938904461
"ENSMUSG00000102275",4.32574975392161,4.77343076312955,4.0202415488088,2.98534615081755,2.57350807290835,2.18129770937033
"ENSMUSG00000025903",188.17011429559,198.097376669876,205.032318989249,152.252653691695,217.032514148604,188.682251860533
"ENSMUSG00000104217",0,0,0,0,0,0
"ENSMUSG00000033813",287.662358635787,295.952707314032,321.619323904704,316.446691986661,294.237756335855,315.197519004012
"ENSMUSG00000062588",1.0814374384804,2.38671538156477,0.804048309761759,0,2.57350807290835,0
"ENSMUSG00000103280",0,0,0,0,0,0
"ENSMUSG00000002459",0,0,0,0,0,0
"ENSMUSG00000091305",0,0,0,0,0,0
"ENSMUSG00000102653",0,0,0,0,0,0
"ENSMUSG00000085623",0,0,0.804048309761759,0,0,0
"ENSMUSG00000091665",0,0,0,0,0,0
"ENSMUSG00000033793",831.625390191429,1017.93411023738,792.791633425095,809.028806871557,788.351306334258,776.541984535837
"ENSMUSG00000104352",0,0,0,0,0,0
"ENSMUSG00000104046",0,0,0,0.995115383605851,0.857836024302784,0
"ENSMUSG00000102907",0,0,0,0,0,0
"ENSMUSG00000025905",0,0,0,0,0,0
"ENSMUSG00000103936",0,0,0,0,0,0
"ENSMUSG00000093015",0,0,0,0,0,0
"ENSMUSG00000103519",0,0,0,0,0,0
"ENSMUSG00000033774",0,0,0,0,0,0
"ENSMUSG00000103090",0,0,0,0,0,0
"ENSMUSG00000025907",359.037229575493,324.593291892809,353.781256295174,316.446691986661,356.859786109958,313.016221294642
"ENSMUSG00000090031",45.4203724161769,46.5409499405131,49.0469468954673,50.7508845638984,50.6123254338642,41.4446564780362
"ENSMUSG00000087247",0,0,0,0,0,0
"ENSMUSG00000103355",0,0,0,0,0,0
"ENSMUSG00000102706",0,0,0,0,0,0
"ENSMUSG00000103845",167.622802964462,158.716572874057,80.4048309761759,61.6971537835628,144.97428810717,131.968511416905
"ENSMUSG00000033740",80.0263704475497,72.7948191377256,47.4388502759438,45.7753076458691,51.470161458167,50.1698473155175
"ENSMUSG00000103329",0,0,0,0,0,0
"ENSMUSG00000104385",0,0,0,0,0,0
"ENSMUSG00000102135",1.0814374384804,0,0.804048309761759,0,2.57350807290835,0
"ENSMUSG00000103282",0,0,0,0,0,0
"ENSMUSG00000102534",0,0,0,0,0,0
"ENSMUSG00000102213",0,0,0,0,0,0
"ENSMUSG00000103629",0,0,0,0,0,0
