"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",0,NA,NA,NA,NA,NA
"Gm19938",0,NA,NA,NA,NA,NA
"Gm10568",0,NA,NA,NA,NA,NA
"Rp1",0,NA,NA,NA,NA,NA
"Sox17",0,NA,NA,NA,NA,NA
"Mrpl15",111.812846710119,0.0757542894453781,0.314829130392636,0.240620330624748,0.809849391517532,0.99971712222943
"Lypla1",279.20758443929,0.0190769462378161,0.223602152728538,0.0853164694750332,0.932009798523441,0.99971712222943
"Gm19860",0.309130213783437,0.452686115940458,4.02912327360397,0.112353503529203,0.910543120630652,0.99971712222943
"Tcea1",387.656008393788,-0.0900251835040113,0.19251485839134,-0.467627196447403,0.640051212653019,0.99971712222943
"Rgs20",0,NA,NA,NA,NA,NA
"Atp6v1h",924.382069067431,0.094426768766325,0.154833908859118,0.609858457117706,0.541955573774566,0.99971712222943
"Oprk1",0,NA,NA,NA,NA,NA
"Npbwr1",0,NA,NA,NA,NA,NA
"Rb1cc1",311.214499089598,0.0211817033908827,0.207180310526894,0.102238013530408,0.918567755391517,0.99971712222943
"Fam150a",0,NA,NA,NA,NA,NA
"St18",100.251083177225,-0.542705903019359,0.343413611358835,-1.58032729358617,0.114031932480175,0.99971712222943
"Pcmtd1",309.810173631768,0.230481607242272,0.213734869266863,1.07835285853381,0.280876316254922,0.99971712222943
"Sntg1",0,NA,NA,NA,NA,NA
"Rrs1",169.797665863648,-0.112718413359883,0.254215968291881,-0.443396274896721,0.657479129837753,0.99971712222943
"Adhfe1",80.9220445096995,0.514431311461998,0.351865597281036,1.46201082298796,0.143738244059559,0.99971712222943
"2610203C22Rik",4.2940195078021,-2.52056035161664,1.61144576659184,-1.56416083238567,0.117779802857868,0.99971712222943
"3110035E14Rik",0,NA,NA,NA,NA,NA
"Mybl1",7.97875152516214,0.046943341993764,1.06263652473591,0.0441762925525551,0.964763879402846,0.99971712222943
"Vcpip1",425.151896453507,-0.15999309812565,0.200059313361521,-0.799728317754104,0.423868222375434,0.99971712222943
"1700034P13Rik",0,NA,NA,NA,NA,NA
"Sgk3",181.515354184602,-0.560731059028766,0.26767553677788,-2.09481623079387,0.0361873317158461,0.99971712222943
"Gm6195",0.148739932924526,-1.54277620560252,4.06026710282934,-0.379969141568904,0.703968321738799,0.99971712222943
"6030422M02Rik",0,NA,NA,NA,NA,NA
"Snhg6",13.7462474945695,0.571309314580301,0.827260870459769,0.690603574979659,0.489814700237038,0.99971712222943
"Snord87",0.739020083078141,-2.01738518341349,3.77012598548176,-0.535097551429889,0.592582403022173,0.99971712222943
"Gm10567",3.22081273007332,-0.405288321485163,1.79117578481633,-0.226269428674038,0.820991874202388,0.99971712222943
