"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000102693",0,NA,NA,NA,NA,NA
"ENSMUSG00000064842",0,NA,NA,NA,NA,NA
"ENSMUSG00000051951",0.175353877669703,-1.23805558690171,4.0804728567969,-0.303409832720604,0.761577553214262,0.986179253179083
"ENSMUSG00000102851",0,NA,NA,NA,NA,NA
"ENSMUSG00000103377",0,NA,NA,NA,NA,NA
"ENSMUSG00000104017",0,NA,NA,NA,NA,NA
"ENSMUSG00000103025",0,NA,NA,NA,NA,NA
"ENSMUSG00000089699",0,NA,NA,NA,NA,NA
"ENSMUSG00000103201",0,NA,NA,NA,NA,NA
"ENSMUSG00000103147",0,NA,NA,NA,NA,NA
"ENSMUSG00000103161",0,NA,NA,NA,NA,NA
"ENSMUSG00000102331",0,NA,NA,NA,NA,NA
"ENSMUSG00000102348",0,NA,NA,NA,NA,NA
"ENSMUSG00000102592",0,NA,NA,NA,NA,NA
"ENSMUSG00000088333",0,NA,NA,NA,NA,NA
"ENSMUSG00000102343",0,NA,NA,NA,NA,NA
"ENSMUSG00000025900",0,NA,NA,NA,NA,NA
"ENSMUSG00000102948",0,NA,NA,NA,NA,NA
"ENSMUSG00000104123",0,NA,NA,NA,NA,NA
"ENSMUSG00000025902",0,NA,NA,NA,NA,NA
"ENSMUSG00000104238",0,NA,NA,NA,NA,NA
"ENSMUSG00000102269",0,NA,NA,NA,NA,NA
"ENSMUSG00000096126",0,NA,NA,NA,NA,NA
"ENSMUSG00000103003",0,NA,NA,NA,NA,NA
"ENSMUSG00000104328",0,NA,NA,NA,NA,NA
"ENSMUSG00000102735",0,NA,NA,NA,NA,NA
"ENSMUSG00000098104",0,NA,NA,NA,NA,NA
"ENSMUSG00000102175",0,NA,NA,NA,NA,NA
"ENSMUSG00000088000",0,NA,NA,NA,NA,NA
"ENSMUSG00000103265",0,NA,NA,NA,NA,NA
"ENSMUSG00000103922",2.89071671622316,0.356191679753254,1.20734000230629,0.295021848918158,0.767977189129669,0.986179253179083
"ENSMUSG00000033845",0,NA,NA,NA,NA,NA
"ENSMUSG00000102275",0,NA,NA,NA,NA,NA
"ENSMUSG00000025903",0.366698804062881,-2.15468677114544,3.60579439036387,-0.597562294983772,0.550132029134304,0.986179253179083
"ENSMUSG00000104217",0,NA,NA,NA,NA,NA
"ENSMUSG00000033813",0.164451330532191,-1.23805558690171,4.0804728567969,-0.303409832720604,0.761577553214262,0.986179253179083
"ENSMUSG00000062588",8.00148886356814,0.0976010168043774,0.76336386052323,0.127856480836647,0.898262551560703,0.986179253179083
"ENSMUSG00000103280",2.67055423515809,-0.262869931970865,1.25026987766172,-0.210250552034804,0.833472126388658,0.986179253179083
"ENSMUSG00000002459",0.175353877669703,-1.23805558690171,4.0804728567969,-0.303409832720604,0.761577553214262,0.986179253179083
"ENSMUSG00000091305",0,NA,NA,NA,NA,NA
"ENSMUSG00000102653",0,NA,NA,NA,NA,NA
"ENSMUSG00000085623",0,NA,NA,NA,NA,NA
"ENSMUSG00000091665",0,NA,NA,NA,NA,NA
"ENSMUSG00000033793",0.542314206460154,0.864857430733304,3.1816388109871,0.27182765930146,0.785754536671614,0.986179253179083
"ENSMUSG00000104352",0,NA,NA,NA,NA,NA
"ENSMUSG00000104046",0,NA,NA,NA,NA,NA
"ENSMUSG00000102907",0,NA,NA,NA,NA,NA
"ENSMUSG00000025905",0,NA,NA,NA,NA,NA
"ENSMUSG00000103936",0,NA,NA,NA,NA,NA
"ENSMUSG00000093015",0,NA,NA,NA,NA,NA
"ENSMUSG00000103519",0,NA,NA,NA,NA,NA
"ENSMUSG00000033774",0,NA,NA,NA,NA,NA
"ENSMUSG00000103090",0,NA,NA,NA,NA,NA
"ENSMUSG00000025907",0.947161148944024,-1.30442630279789,2.19518742276271,-0.594220925863466,0.552364358459825,0.986179253179083
"ENSMUSG00000090031",2.35370085102187,0.291345107926109,1.48320183239257,0.19642984627125,0.844273737334287,0.986179253179083
"ENSMUSG00000087247",0,NA,NA,NA,NA,NA
"ENSMUSG00000103355",0,NA,NA,NA,NA,NA
"ENSMUSG00000102706",0,NA,NA,NA,NA,NA
"ENSMUSG00000103845",0.40449494706138,-2.27987502632212,3.88563414807949,-0.586744644358494,0.557375219246569,0.986179253179083
"ENSMUSG00000033740",0.133631118572194,0.685497764740777,4.0804728567969,0.167994688066344,0.866587457999568,0.986179253179083
"ENSMUSG00000103329",2.58348378084638,2.59383289235306,1.51559395019273,1.71142995920723,0.0870017705871933,0.986179253179083
"ENSMUSG00000104385",0,NA,NA,NA,NA,NA
"ENSMUSG00000102135",0,NA,NA,NA,NA,NA
"ENSMUSG00000103282",0,NA,NA,NA,NA,NA
"ENSMUSG00000102534",0,NA,NA,NA,NA,NA
"ENSMUSG00000102213",0,NA,NA,NA,NA,NA
"ENSMUSG00000103629",0,NA,NA,NA,NA,NA
"ENSMUSG00000051285",0.164451330532191,-1.23805558690171,4.0804728567969,-0.303409832720604,0.761577553214262,0.986179253179083
"ENSMUSG00000098201",4.77218553749452,-0.342906213229423,0.946573341730025,-0.362260585748911,0.717157308723976,0.986179253179083
"ENSMUSG00000103509",0,NA,NA,NA,NA,NA
"ENSMUSG00000048538",0,NA,NA,NA,NA,NA
"ENSMUSG00000103709",0,NA,NA,NA,NA,NA
"ENSMUSG00000077244",0,NA,NA,NA,NA,NA
"ENSMUSG00000102768",0,NA,NA,NA,NA,NA
"ENSMUSG00000097797",0,NA,NA,NA,NA,NA
"ENSMUSG00000103498",0,NA,NA,NA,NA,NA
"ENSMUSG00000103067",0,NA,NA,NA,NA,NA
"ENSMUSG00000102320",0,NA,NA,NA,NA,NA
"ENSMUSG00000104226",0,NA,NA,NA,NA,NA
"ENSMUSG00000103903",0,NA,NA,NA,NA,NA
"ENSMUSG00000103557",0,NA,NA,NA,NA,NA
"ENSMUSG00000025909",0,NA,NA,NA,NA,NA
"ENSMUSG00000102647",0,NA,NA,NA,NA,NA
"ENSMUSG00000086235",0,NA,NA,NA,NA,NA
"ENSMUSG00000102253",0,NA,NA,NA,NA,NA
"ENSMUSG00000093970",0,NA,NA,NA,NA,NA
"ENSMUSG00000103884",0.401758841904131,2.0324861484109,3.8828137640955,0.523457026758626,0.600656248425907,0.986179253179083
"ENSMUSG00000084353",0,NA,NA,NA,NA,NA
"ENSMUSG00000103933",0,NA,NA,NA,NA,NA
"ENSMUSG00000076135",0,NA,NA,NA,NA,NA
"ENSMUSG00000086195",0,NA,NA,NA,NA,NA
"ENSMUSG00000104504",0,NA,NA,NA,NA,NA
"ENSMUSG00000066693",0.64544057913648,-0.43094157778536,2.73699476106503,-0.1574506403577,0.874889705882429,0.986179253179083
"ENSMUSG00000102316",0,NA,NA,NA,NA,NA
"ENSMUSG00000103819",0,NA,NA,NA,NA,NA
"ENSMUSG00000102871",0,NA,NA,NA,NA,NA
"ENSMUSG00000101571",0,NA,NA,NA,NA,NA
"ENSMUSG00000104428",0,NA,NA,NA,NA,NA
"ENSMUSG00000102272",0,NA,NA,NA,NA,NA
"ENSMUSG00000065625",0,NA,NA,NA,NA,NA
"ENSMUSG00000103411",0,NA,NA,NA,NA,NA
"ENSMUSG00000061024",0.634511061330689,2.6567087618763,2.66196465707609,0.99802555785787,0.318266965557546,0.986179253179083
"ENSMUSG00000025911",5.89194111417909,0.14273562664253,0.911029433619351,0.156675098932279,0.875500912857136,0.986179253179083
"ENSMUSG00000079671",9.47347509714651,0.157358730507479,0.697394557303698,0.225638024930775,0.821482963800921,0.986179253179083
"ENSMUSG00000081441",1.9032716592645,2.07217815825603,1.64890055759601,1.25670292772363,0.208861227584471,0.986179253179083
"ENSMUSG00000067879",5.13136706241816,2.28051434748119,1.06535245578634,2.14061959973418,0.0323047269105216,0.986179253179083
"ENSMUSG00000099827",0,NA,NA,NA,NA,NA
"ENSMUSG00000025912",0,NA,NA,NA,NA,NA
"ENSMUSG00000045210",0.44290461020994,0.505579883247087,3.09891476420995,0.163147398917241,0.870402380767899,0.986179253179083
"ENSMUSG00000097893",35.2915252846803,-0.179304373414966,0.394607212154587,-0.454386964789492,0.649550332801814,0.986179253179083
"ENSMUSG00000025915",0.328902661064381,-2.02165713339888,4.04854290289958,-0.499354257046643,0.617529838238823,0.986179253179083
"ENSMUSG00000046334",4.33239148596882,1.2759678130327,1.04556129434379,1.22036634287761,0.222326030356626,0.986179253179083
"ENSMUSG00000088916",2.64279877900593,-0.317689829791868,1.29479920735029,-0.24535837525109,0.806178955800919,0.986179253179083
"ENSMUSG00000046101",8.24271092319402,-0.435788315287693,0.748639838058847,-0.582106766342613,0.560494767785085,0.986179253179083
"ENSMUSG00000098234",0,NA,NA,NA,NA,NA
"ENSMUSG00000093178",0,NA,NA,NA,NA,NA
"ENSMUSG00000099032",0,NA,NA,NA,NA,NA
"ENSMUSG00000104025",0,NA,NA,NA,NA,NA
"ENSMUSG00000025916",0,NA,NA,NA,NA,NA
"ENSMUSG00000087199",0,NA,NA,NA,NA,NA
"ENSMUSG00000095780",0,NA,NA,NA,NA,NA
