"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000102693",0,NA,NA,NA,NA,NA
"ENSMUSG00000064842",0,NA,NA,NA,NA,NA
"ENSMUSG00000051951",0,NA,NA,NA,NA,NA
"ENSMUSG00000102851",0,NA,NA,NA,NA,NA
"ENSMUSG00000103377",0,NA,NA,NA,NA,NA
"ENSMUSG00000104017",0,NA,NA,NA,NA,NA
"ENSMUSG00000103025",0,NA,NA,NA,NA,NA
"ENSMUSG00000089699",0,NA,NA,NA,NA,NA
"ENSMUSG00000103201",0,NA,NA,NA,NA,NA
"ENSMUSG00000103147",0,NA,NA,NA,NA,NA
"ENSMUSG00000103161",0,NA,NA,NA,NA,NA
"ENSMUSG00000102331",0,NA,NA,NA,NA,NA
"ENSMUSG00000102348",0,NA,NA,NA,NA,NA
"ENSMUSG00000102592",0,NA,NA,NA,NA,NA
"ENSMUSG00000088333",0,NA,NA,NA,NA,NA
"ENSMUSG00000102343",0,NA,NA,NA,NA,NA
"ENSMUSG00000025900",0,NA,NA,NA,NA,NA
"ENSMUSG00000102948",0,NA,NA,NA,NA,NA
"ENSMUSG00000104123",0,NA,NA,NA,NA,NA
"ENSMUSG00000025902",0,NA,NA,NA,NA,NA
"ENSMUSG00000104238",0,NA,NA,NA,NA,NA
"ENSMUSG00000102269",0,NA,NA,NA,NA,NA
"ENSMUSG00000096126",0,NA,NA,NA,NA,NA
"ENSMUSG00000103003",0,NA,NA,NA,NA,NA
"ENSMUSG00000104328",0,NA,NA,NA,NA,NA
"ENSMUSG00000102735",0,NA,NA,NA,NA,NA
"ENSMUSG00000098104",0,NA,NA,NA,NA,NA
"ENSMUSG00000102175",0,NA,NA,NA,NA,NA
"ENSMUSG00000088000",0,NA,NA,NA,NA,NA
"ENSMUSG00000103265",0,NA,NA,NA,NA,NA
"ENSMUSG00000103922",2.25011252421776,-1.08480312105078,2.27348925716099,-0.477153396539655,0.633252894026134,0.999493601103047
"ENSMUSG00000033845",0.214149715570888,-1.69182579221308,4.06871644816262,-0.415813147406004,0.677546737504627,0.999493601103047
"ENSMUSG00000102275",0,NA,NA,NA,NA,NA
"ENSMUSG00000025903",1.04823539093189,-0.903274415492481,3.48051862245025,-0.259522937089354,0.79523178686695,0.999493601103047
"ENSMUSG00000104217",0,NA,NA,NA,NA,NA
"ENSMUSG00000033813",1.39468945097134,-2.70854424197565,3.10797639408024,-0.871481600418398,0.383491247987441,0.999493601103047
"ENSMUSG00000062588",5.02454721712791,1.77646747313121,1.34861208918229,1.31725607932845,0.187752801927703,0.999493601103047
"ENSMUSG00000103280",2.0153771013575,0.678039722843275,2.6316915322836,0.257644072082763,0.796681613042493,0.999493601103047
"ENSMUSG00000002459",1.11772392776713,-0.106536917566724,3.92081987081477,-0.0271721020289018,0.978322466843414,0.999493601103047
"ENSMUSG00000091305",0,NA,NA,NA,NA,NA
"ENSMUSG00000102653",0,NA,NA,NA,NA,NA
"ENSMUSG00000085623",0,NA,NA,NA,NA,NA
"ENSMUSG00000091665",0,NA,NA,NA,NA,NA
"ENSMUSG00000033793",3.54282265956856,-0.275896952254868,1.56717276669999,-0.176047566750299,0.860256573111437,0.999493601103047
"ENSMUSG00000104352",0,NA,NA,NA,NA,NA
"ENSMUSG00000104046",0,NA,NA,NA,NA,NA
"ENSMUSG00000102907",0,NA,NA,NA,NA,NA
"ENSMUSG00000025905",0,NA,NA,NA,NA,NA
"ENSMUSG00000103936",0,NA,NA,NA,NA,NA
"ENSMUSG00000093015",0,NA,NA,NA,NA,NA
"ENSMUSG00000103519",0,NA,NA,NA,NA,NA
"ENSMUSG00000033774",0,NA,NA,NA,NA,NA
"ENSMUSG00000103090",0,NA,NA,NA,NA,NA
"ENSMUSG00000025907",1.45391791785494,1.435501067094,3.27083551421448,0.438879014507322,0.66074920331034,0.999493601103047
"ENSMUSG00000090031",7.66471437521841,0.701604523605245,0.928596882524103,0.75555339115306,0.449917009671725,0.999493601103047
"ENSMUSG00000087247",0.214149715570888,-1.69182579221308,4.06871644816262,-0.415813147406004,0.677546737504627,0.999493601103047
"ENSMUSG00000103355",0,NA,NA,NA,NA,NA
"ENSMUSG00000102706",0,NA,NA,NA,NA,NA
"ENSMUSG00000103845",0.634792564499041,0.327114748633526,3.97160560451764,0.0823633515526914,0.934357778223436,0.999493601103047
"ENSMUSG00000033740",0,NA,NA,NA,NA,NA
"ENSMUSG00000103329",4.54262510664147,0.488123475991989,1.33552726476869,0.365491210002765,0.714744767066226,0.999493601103047
"ENSMUSG00000104385",0,NA,NA,NA,NA,NA
"ENSMUSG00000102135",0,NA,NA,NA,NA,NA
"ENSMUSG00000103282",0,NA,NA,NA,NA,NA
"ENSMUSG00000102534",0,NA,NA,NA,NA,NA
"ENSMUSG00000102213",0,NA,NA,NA,NA,NA
"ENSMUSG00000103629",0,NA,NA,NA,NA,NA
"ENSMUSG00000051285",3.16284465376554,-2.21577827562319,1.78211194761851,-1.24334404389365,0.213741080561681,0.999493601103047
"ENSMUSG00000098201",2.36360806701136,1.1555919076359,2.05482628224728,0.562379368815586,0.573857572564839,0.999493601103047
"ENSMUSG00000103509",0,NA,NA,NA,NA,NA
"ENSMUSG00000048538",0.148839303684702,0.135686091668029,4.0777004436145,0.0332751494486328,0.973455170650112,0.999493601103047
"ENSMUSG00000103709",0,NA,NA,NA,NA,NA
"ENSMUSG00000077244",0,NA,NA,NA,NA,NA
"ENSMUSG00000102768",0,NA,NA,NA,NA,NA
"ENSMUSG00000097797",0,NA,NA,NA,NA,NA
"ENSMUSG00000103498",0,NA,NA,NA,NA,NA
"ENSMUSG00000103067",0,NA,NA,NA,NA,NA
"ENSMUSG00000102320",0,NA,NA,NA,NA,NA
"ENSMUSG00000104226",0,NA,NA,NA,NA,NA
"ENSMUSG00000103903",0,NA,NA,NA,NA,NA
"ENSMUSG00000103557",0,NA,NA,NA,NA,NA
"ENSMUSG00000025909",0,NA,NA,NA,NA,NA
"ENSMUSG00000102647",0,NA,NA,NA,NA,NA
"ENSMUSG00000086235",0,NA,NA,NA,NA,NA
"ENSMUSG00000102253",0,NA,NA,NA,NA,NA
"ENSMUSG00000093970",0,NA,NA,NA,NA,NA
"ENSMUSG00000103884",0,NA,NA,NA,NA,NA
"ENSMUSG00000084353",0,NA,NA,NA,NA,NA
"ENSMUSG00000103933",0,NA,NA,NA,NA,NA
"ENSMUSG00000076135",0,NA,NA,NA,NA,NA
"ENSMUSG00000086195",0,NA,NA,NA,NA,NA
"ENSMUSG00000104504",0,NA,NA,NA,NA,NA
"ENSMUSG00000066693",0.289078550503275,-1.74979185798322,4.07778057391184,-0.429103976113319,0.667847558832079,0.999493601103047
"ENSMUSG00000102316",0,NA,NA,NA,NA,NA
"ENSMUSG00000103819",0,NA,NA,NA,NA,NA
"ENSMUSG00000102871",0,NA,NA,NA,NA,NA
"ENSMUSG00000101571",0,NA,NA,NA,NA,NA
"ENSMUSG00000104428",0,NA,NA,NA,NA,NA
"ENSMUSG00000102272",0,NA,NA,NA,NA,NA
"ENSMUSG00000065625",0,NA,NA,NA,NA,NA
"ENSMUSG00000103411",0,NA,NA,NA,NA,NA
"ENSMUSG00000061024",0.690871756960573,-1.81875123187474,3.98052046146775,-0.456912921182197,0.647733636265594,0.999493601103047
"ENSMUSG00000025911",5.28145859891347,-1.25659136669855,1.27605237717346,-0.984749050412794,0.324747352641927,0.999493601103047
"ENSMUSG00000079671",17.78036534031,-0.47417260489231,0.612899759507953,-0.773654414994362,0.439135183931923,0.999493601103047
"ENSMUSG00000081441",8.9799850754251,-0.123142832814338,0.881436811270991,-0.139706932181301,0.888891549039127,0.999493601103047
"ENSMUSG00000067879",2.57243079904636,2.83711656574117,2.09908138028661,1.35159912921232,0.176503589048622,0.999493601103047
"ENSMUSG00000099827",0,NA,NA,NA,NA,NA
"ENSMUSG00000025912",0.148839303684702,0.135686091668029,4.0777004436145,0.0332751494486328,0.973455170650112,0.999493601103047
"ENSMUSG00000045210",3.38902480653191,2.41055117513631,1.67344824091627,1.44046951450166,0.149734608958192,0.999493601103047
"ENSMUSG00000097893",45.3900663703,0.06046721071919,0.439294262098172,0.137646256589796,0.89051999597573,0.999493601103047
"ENSMUSG00000025915",1.51765369253009,-1.29339083432688,2.73356050222575,-0.473152444686614,0.636104422844765,0.999493601103047
"ENSMUSG00000046334",9.34629907629766,0.0939374682297694,0.843830195499459,0.11132271484332,0.911360443515736,0.999493601103047
"ENSMUSG00000088916",3.01396808725258,-3.46104390102042,1.9801016967879,-1.7479121939216,0.0804792330238319,0.999493601103047
"ENSMUSG00000046101",10.3693209816521,-0.228329064709018,0.79942072319727,-0.285618145844181,0.775170603801986,0.999493601103047
"ENSMUSG00000098234",0.297678607369403,0.352757223357228,4.02969271895383,0.0875394845115656,0.930242701775642,0.999493601103047
"ENSMUSG00000093178",0,NA,NA,NA,NA,NA
"ENSMUSG00000099032",0,NA,NA,NA,NA,NA
"ENSMUSG00000104025",0,NA,NA,NA,NA,NA
"ENSMUSG00000025916",0,NA,NA,NA,NA,NA
