"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Xkr4",0,NA,NA,NA,NA,NA
"Gm19938",0,NA,NA,NA,NA,NA
"Gm10568",0,NA,NA,NA,NA,NA
"Rp1",0,NA,NA,NA,NA,NA
"Sox17",0,NA,NA,NA,NA,NA
"Mrpl15",99.9811615378025,-0.0218748093756156,0.240228857391286,-0.0910582084648799,0.927446339446945,0.999474825042878
"Lypla1",264.720390306435,0.308472782060227,0.178301465526561,1.73006307687514,0.0836190061965892,0.972893044006383
"Gm19860",0.151823905457305,0,4.40735632411505,0,1,NA
"Tcea1",367.172862152611,-0.0285632079610128,0.157741904321936,-0.181075587262583,0.856308246369589,0.999474825042878
"Rgs20",0,NA,NA,NA,NA,NA
"Atp6v1h",822.69464190037,-0.110149654140977,0.137254517172711,-0.802521158574129,0.422251554117195,0.999474825042878
"Oprk1",0,NA,NA,NA,NA,NA
"Npbwr1",0,NA,NA,NA,NA,NA
"Rb1cc1",301.802442704925,0.160258820939228,0.160155049713878,1.00064794226304,0.316997043331607,0.999474825042878
"Fam150a",0,NA,NA,NA,NA,NA
"St18",77.6438997197038,0.104597265980766,0.316863878933804,0.330101576527811,0.74132321204332,0.999474825042878
"Pcmtd1",333.096940352796,0.297464809329075,0.208671419446522,1.42551773557714,0.154007597092369,0.999474825042878
"Sntg1",0,NA,NA,NA,NA,NA
"Rrs1",145.774492617403,0.10593715291552,0.223718462950939,0.473528878744137,0.635835902727002,0.999474825042878
"Adhfe1",66.5035298035689,0.474823786206248,0.281049426071876,1.68946719743458,0.0911299329166494,0.999474825042878
"2610203C22Rik",4.29505650449863,0.915355594989899,1.09490044915101,0.836017188320335,0.40314523348886,NA
"3110035E14Rik",0,NA,NA,NA,NA,NA
"Mybl1",6.08377713163604,-0.0420103451503183,0.889577268942229,-0.0472250659015508,0.962333850105267,NA
"Vcpip1",434.342038492526,-0.0950150432688807,0.158304744144917,-0.600203384820236,0.548370698119209,0.999474825042878
"1700034P13Rik",0.710823641009431,0.646131289141379,2.7707502806841,0.233197229517865,0.815608257078252,NA
"Sgk3",166.131454146459,-0.0360051610336541,0.250938997887547,-0.143481727976729,0.885909740896741,0.999474825042878
"Gm6195",0.273655128140193,-1.7876221378412,4.38446610512428,-0.40771717581576,0.683481326108144,NA
"6030422M02Rik",0.351220003358268,0.0634333311476368,4.34948273315475,0.0145841092008721,0.988363976926752,NA
"Snhg6",15.1172304785942,-0.148033509989874,0.567251211392462,-0.260966406094556,0.794118413840943,0.999474825042878
"Snord87",1.00662876821243,-1.89626149740657,2.5103621019413,-0.755373695268968,0.450024791810199,NA
"Gm10567",4.42749554860478,-0.236725362936089,1.03573576161209,-0.228557680163167,0.819212720217098,NA
