GeneID	Length	X1h_m1_t	X1h_m1_u	X1h_m2_t	X1h_m2_u	X1h_m3_t	X1h_m3_u	X6h_m1_t	X6h_m1_u	X6h_m2_t	X6h_m2_u	X6h_m3_t	X6h_m3_u
ENSMUSG00000102693	1070	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	110	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	6094	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102851	480	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	2819	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104017	2233	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103025	2309	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089699	250	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103201	2057	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103147	926	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161	3012	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102331	3259	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102348	1634	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102592	2351	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	58	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	1364	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	12311	0	0	0	0	0	0	0	0	0	0	2	0
ENSMUSG00000102948	1867	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	1484	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	4772	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104238	2917	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	2991	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000096126	107	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103003	450	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	2773	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102735	936	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098104	1470	0	2	0	2	4	0	0	0	4	1	0	1
ENSMUSG00000102175	1206	0	0	2	0	0	0	0	0	2	0	0	0
ENSMUSG00000088000	103	0	0	0	1	0	0	0	2	0	0	0	0
ENSMUSG00000103265	631	5	1	3	1	0	2	7	0	0	0	0	0
ENSMUSG00000103922	1069	3	0	2	0	1	0	16	0	0	2	1	0
ENSMUSG00000033845	8487	110	98	112	100	130	97	241	72	159	100	132	151
ENSMUSG00000102275	1150	4	4	5	3	3	2	6	2	4	5	3	4
ENSMUSG00000025903	7145	174	166	255	153	253	173	409	109	261	207	257	233
ENSMUSG00000104217	825	0	0	0	0	0	0	0	0	0	0	0	1
ENSMUSG00000033813	3017	266	248	400	318	343	289	408	209	485	262	453	406
ENSMUSG00000062588	603	1	2	1	0	3	0	0	0	0	1	2	0
ENSMUSG00000103280	1111	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000002459	4239	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000091305	272	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102653	2135	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000085623	3725	0	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000091665	1588	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033793	9746	769	853	986	813	919	712	1862	561	1231	802	1170	1139
ENSMUSG00000104352	732	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	2279	0	0	0	1	1	0	0	0	0	0	0	0
ENSMUSG00000102907	2032	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025905	9151	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103936	394	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	101	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	1799	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	3692	0	0	0	0	0	0	0	0	0	0	0	0
