GeneID	Length	X1h.m1.t.sort.bam	X1h.m1.u.sort.bam	X1h.m2.t.sort.bam	X1h.m2.u.sort.bam	X1h.m3.t.sort.bam	X1h.m3.u.sort.bam	X6h.m1.t.sort.bam	X6h.m1.u.sort.bam	X6h.m2.t.sort.bam	X6h.m2.u.sort.bam	X6h.m3.t.sort.bam	X6h.m3.u.sort.bam
Xkr4	3634	0	0	0	0	0	0	0	0	0	0	0	0
Gm19938	3259	0	0	0	0	0	0	0	0	0	0	0	0
Gm10568	1634	0	0	0	0	0	0	0	0	0	0	0	0
Rp1	9747	0	0	0	0	0	0	0	0	0	0	0	0
Sox17	3130	0	0	0	0	0	0	0	0	0	0	0	0
Mrpl15	4203	88	85	96	83	106	78	218	58	129	87	111	122
Lypla1	2433	254	202	346	197	323	219	456	145	315	243	322	293
Gm19860	799	0	0	0	0	0	0	0	0	0	0	2	0
Tcea1	2847	299	286	459	371	395	317	431	223	523	302	484	459
Rgs20	2241	0	0	0	0	0	0	0	0	0	0	0	0
Atp6v1h	1976	681	745	838	715	786	616	1632	486	1088	716	1026	999
Oprk1	4707	0	0	0	0	0	0	0	0	0	0	0	0
Npbwr1	3692	0	0	0	0	0	0	0	0	0	0	0	0
Rb1cc1	7046	293	238	384	273	350	254	469	152	438	235	315	400
Fam150a	858	0	0	0	0	0	0	0	0	0	0	0	0
St18	6161	73	57	59	44	56	46	88	77	137	78	91	133
Pcmtd1	5232	270	156	696	475	365	285	438	115	502	237	347	396
Sntg1	4193	0	0	0	0	0	0	0	0	0	0	0	0
Rrs1	2048	151	128	136	110	127	86	231	104	205	141	193	184
Adhfe1	3139	56	35	87	44	62	43	150	35	128	55	95	75
2610203C22Rik	1246	5	1	8	3	5	5	0	3	2	9	4	4
3110035E14Rik	3187	0	0	0	0	0	0	0	0	0	0	0	0
Mybl1	3564	4	3	4	5	6	4	9	7	10	5	11	6
Vcpip1	5179	354	321	569	528	514	433	451	261	660	319	446	521
1700034P13Rik	1494	3	2	1	0	1	1	0	0	0	0	0	0
Sgk3	5622	115	170	166	121	220	128	171	144	216	162	175	209
Gm6195	451	0	2	0	0	0	0	0	0	0	0	0	1
6030422M02Rik	2553	1	0	0	0	1	2	0	0	0	0	0	0
Snhg6	407	13	22	21	12	18	13	18	5	17	10	27	12
Snord87	74	0	5	1	0	1	0	0	0	0	2	1	1
Gm10567	2646	4	6	5	6	9	4	0	2	6	1	6	5
Tcf24	501	0	0	0	0	1	0	0	0	0	0	0	1
Ppp1r42	1502	0	0	0	0	0	0	0	0	0	0	0	0
Cops5	1240	175	195	263	203	208	205	327	131	258	175	209	222
Cspp1	4354	105	77	164	112	161	94	234	62	195	96	112	147
Arfgef1	7042	1740	982	1723	1132	1632	1290	2778	872	1942	1084	1401	1619
Cpa6	1930	1	1	0	0	2	0	0	0	5	0	3	0
Prex2	11187	1	0	0	1	0	2	0	0	0	0	4	0
A830018L16Rik	8293	0	0	0	0	0	0	0	0	0	0	0	0
4932411L15	3200	0	0	0	0	0	0	0	0	0	0	0	0
Sulf1	4864	2	1	7	25	5	12	0	2	8	3	5	20
Slco5a1	8512	0	0	2	2	5	0	6	1	3	1	3	1
Prdm14	2593	0	0	0	0	0	0	0	0	0	0	0	0
Ncoa2	8213	283	186	334	227	350	234	303	155	343	215	267	302
Tram1	2888	670	605	854	614	792	628	1153	463	1002	622	828	795
Lactb2	1889	136	101	126	97	139	113	242	58	168	118	172	140
Xkr9	1926	0	0	0	0	0	0	0	0	0	0	0	0
Gm5523	1245	0	0	0	0	0	0	0	0	0	0	4	0
Eya1	4345	4	6	2	5	7	4	10	1	9	5	7	13
Msc	1717	0	0	1	0	0	0	0	0	0	0	0	0
Trpa1	4263	0	0	0	1	0	0	0	0	0	0	0	0
Kcnb2	5309	0	0	0	0	0	0	0	0	0	0	0	0
Terf1	1633	36	34	44	48	55	41	57	10	74	45	50	48
Gm106	2748	0	0	0	0	0	0	0	0	0	0	0	0
Gm7634	572	0	0	0	0	0	0	0	0	0	0	0	0
4930444P10Rik	717	0	0	0	0	0	0	0	0	0	0	0	0
Rpl7	934	889	752	1188	962	1019	829	1540	572	1066	683	1111	996
Rdh10	2295	24	15	9	11	17	9	74	7	20	29	14	39
Stau2	2890	39	47	41	44	46	42	73	26	77	46	58	52
Ube2w	2354	121	120	161	128	155	112	281	102	120	100	129	149
Tceb1	955	169	182	202	169	174	160	257	140	227	146	229	156
D030040B21Rik	2788	0	0	1	0	1	0	0	0	0	0	0	0
Tmem70	1732	51	43	81	51	53	50	146	29	101	50	74	91
Ly96	603	57	54	73	48	63	49	124	41	74	48	48	59
Jph1	4809	1	1	0	0	1	0	0	0	0	1	1	1
Gdap1	3938	0	0	0	0	0	0	0	0	0	0	0	0
Pi15	6923	1	0	0	1	0	0	0	0	4	0	0	2
Crispld1	4006	0	0	0	0	0	0	0	0	0	0	0	0
Crisp4	1192	0	0	0	0	0	0	0	0	0	0	0	0
Defb44-ps	222	0	0	0	0	0	0	0	0	0	0	0	0
Defb18	258	0	0	0	0	0	0	0	0	0	0	0	0
Defb41	469	0	0	0	0	0	0	0	0	0	0	0	0
Gm15386	256	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2d	1753	0	0	0	0	0	0	0	0	0	0	0	0
Tfap2b	6391	0	0	0	0	0	0	0	0	0	0	0	0
Pkhd1	12928	0	0	0	0	0	1	0	1	0	0	0	0
4930486I03Rik	786	0	0	0	0	0	0	0	0	0	0	0	0
